abstract,extractive,text
The meeting begins with the group trying to resolve some equipment issues and waiting for Anna's arrival.,"we uh we will wait for Anna , a few minutes .
I think you can put anywhere you want , actually .
It's not a directional mic , anyway .
So I will try to get my presentation running .
Can't help you with that .
Alt F five .
Doesn't appear on the screen here .
It's working .","UI: Okay .
ID: Or you get it .
ID: Okay .
UI: No I don't think so
UI: it has to be like that
UI: yeah
UI: and you have to adjust the length .
UI: Okay , and then .
PM: So
PM: we uh we will wait for Anna , a few minutes .
UI: Yeah , s yeah , um .
ID: 
ID: Mm .
ID: Yours is well
UI: I think you can put anywhere you want , actually .
ID: Yeah
ID: but the the mic should not
UI: I thin
UI: It's not a directional mic , anyway .
ID: 
PM: I think it should work like this .
PM: So I will try to get my presentation running .
UI: Uh .
ID: Yeah .
UI: Yeah .
PM: Mm .
ID: Mm .
ID: Can't help you with that .
UI: Last .
PM: It's no matter .
ID: Okay ,
ID: it's y
ID: yeah .
PM: No problem .
PM: Ah
PM: yes .
ID: Right .
UI: Okay .
ID: Then press uh al
UI: Okay .
ID: This .
ID: You know ?
PM: I don't know .
PM: Just try .
UI: 'Kay .
PM: On this normal
ID: Oh oh .
UI: Alt F five .
PM: Good .
PM: Doesn't appear on the screen here .
ID: 
ID: Right well
PM: Oh .
ID: Wow . Amazing .
ID: It's working .
PM: Okay .
PM: Thank you . Uh .
ME: Hold that .
PM: Yes
PM: and you can put can clip it uh on your
ME: Okay .
PM: Somewhere .
ME: Okay . Mm .
PM: So ,
PM: good morning , everyone .
PM: Um
ID: 
PM: Welcome at uh at the kick off meeting of our uh latest project .
PM: I hope you all have been uh updated about it .
ID: Yeah .
PM: Good .
UI: So . Yes ."
The UI and ID presented a prototype drawing of the remote control design.,"Prototype presentation , well first","PM: Can I close this ?
UI: Uh we don't have any changes ,
UI: do we ?
UI: So no .
PM: Oh , okay .
UI: 
PM: 
PM: There we go .
PM: Okay ,
PM: here we are again .
PM: Detailed design
PM: oh , come on .
PM: Well Ah
PM: s
PM: Forgot to insert the minutes ,
PM: but it's about the same thing we discussed before . Uh
PM: Could open that anyway , think .
PM: Other design
PM: anyway , we took as we took w we took rubber as as the material last time .
PM: We also that you're just busy with it .
PM: Took the advanced chip to t uh implement the advanced features .
PM: Well ,
PM: we discussed the design ,
PM: no sharp corners , we rounded it off ,
PM: like you see on the other screen ,
PM: which is fine .
PM: Um we agreed that the colour should be b uh yellow and black .
PM: Yellow in the back because it's m trendy , more trendy than black anyway .
PM: So
PM: then we ca
PM: yeah .
PM: We agreed that we would implement both the L C D and speech recognition ,
PM: but I'll get to that in a moment .
PM: 'Cause some changes in the finances have left us implications anyway .
PM: So so ,
PM: like I said , we had no insight in finances , no prices ,
PM: but we have 'em now ,
ME: Hmm .
PM: and it's bad .
PM: Anyway .
PM: We are
PM: Oh .
PM: Prototype presentation , well first
PM: you guys built the prototype .
PM: So
PM: you could could present that .
PM: But um let's see what be handy to do .
PM: Nee no ,
PM: you just go ahead and present
PM: the w
PM: we'll scrap it later
PM: because
ID: I think it's more or less the same as we had .
PM: What ?
UI: It's basically what we agreed upon ,
UI: but just a little bit more specified .
ME: Hmm ?
PM: Oh
PM: that's
ID: No much s
PM: hasn't changed that much , huh ?
PM: I didn't expect anyway .
PM: You just coloured it .
ID: No no no , not at all .
UI: Uh s
UI: Final design .
UI: Basically in what we discussed , cover and buttons will be made of rubber , yellow colour , black components ,
UI: as you can see right over here .
UI: We chose a different type of colour for the menu . A bit darker yellow
UI: so that it com really shows in this keypad .
UI: If you put them all black , it's not really that good a contrast .
UI: So
PM: Mm-hmm .
PM: I like the menu .
PM: Mm-hmm .
PM: And I suppose the the the yellow is not printed on the on the rubber . It's it's part of the rubber , I suppose .
PM: I think that's more I think that's more durable anyway than printed on to
UI: Probab
UI: Yeah .
UI: That's the be
ID: Hmm .
UI: And it I guess it's more easier to just paint it on the rubber
UI: than to uh
ID: Yeah , of course .
ME: Mm yeah .
ID: That's uh the integration story again .
ME: Okay .
UI: So we have it's a bit round shaped ,
UI: that's what we had
UI: uh
PM: Oh yeah .
UI: We chose the buttons to be uh teletext , okay button , favourite channel and the mute .
UI: So that's basically what we chose there .
UI: If you have anything to add , please interrupt me .
PM: Mm-hmm .
PM: Okay .
ID: No , uh
ID: this is just a description of what we see there .
ID: So
PM: Yeah .
UI: Oh .
ME: Yeah .
ID: Speaks for itself .
UI: That's pretty much it ."
The team then discussed their target group and whether to use titanium or a spongy material in their design.,"W w would it be helpful if um I described the components a bit ,
I think possibly it might be more useful if Kate went next .
I was really thinking a lot about the I uh the iMac kind of gel gem tone .","ID: W w would it be helpful if um I described the components a bit ,
ID: because I think it would give you um maybe bring this discussion back to Earth of what we can actually physically do .
UI: Yeah , maybe .
UI: Or
PM: Do you wanna be next or you want Kate to go next ?
UI: I think possibly it might be more useful if Kate went next .
PM: Okay ,
PM: we'll move the
UI: Um
ID: 
UI: You can even have them in different flavours as well .
UI: So that if you just wanna sit there and chew on the remote , it could be like pear flavour ,
UI: yeah . Scratch and sniff .
ME: Yeah .
ME: Or s or smelly . Scratchy
ME: Uh well
ME: I was really thinking a lot about the I uh the iMac kind of gel gem tone .
ME: It's hot on the streets , guys ."
"They discussed the functions the remote will have, including Video Plus capability and rechargeable batteries.","And we've talked about um there being an alarm or something , a beeping for being lost , um .","PM: Right , I think we have to round it up , um
ME: Can I just quickly um go over the new project requirements so that I haven't missed anything .
ME: So it's no teletext ,
ME: it's only for T V and by implication video ,
ME: our corporate image should be incorporated in the remote control ,
ME: um something about Videoplus .
PM: Sure .
UI: Mm-hmm .
PM: That was um in cutting down the number that was kinda separate that was cutting down the number of functions , making it simpler so instead of having lots of things you put in for date
ME: Right .
ME: Right .
ME: Right , so when they press for programming you it comes up on the L C D , a reminder about using Videoplus ?
ME: So that they have a look at the guide and
ME: Or was is this nothing to do with the project requirements ,
ME: is this just that was an add-on feature ?
PM: It's kinda takes the place of having a button to press for the date and having the button to press for the channel , things like that .
PM: Um it could be it c
ME: Uh-huh .
ME: Right .
ME: Right , so it's kind of doing away with the programming feature ?
ME: Right .
PM: It
PM: yes ,
PM: it could be uh adv advertisement feature , um rather than design feature ,
PM: you know , drawing attention to that .
ID: Yeah .
PM: And it also paid um lip service in the instruction manual ,
PM: 'cause it's very simple
PM: so putting it down in words should be helpful .
ME: Mm , and the rechargeable batteries .
ME: Was there anything else there that we in the new new project requirements ?
PM: Yeah .
PM: Um
UI: Yeah .
PM: We've got the buttons
PM: but I think we'll work through that with the design of it , um .
UI: Yeah .
ME: Mm-hmm .
ME: That's not at the moment a requirement ,
ME: it's something we're looking at ,
ME: what preference
ME: so it may come round to market research at some point to see what people would like .
PM: Yes . Yes .
PM: And we've talked about um there being an alarm or something , a beeping for being lost , um .
UI: For detection , right .
ID: Yeah .
PM: Learning how to use it should be as simple as possible .
PM: But there aren't gonna be that func that many functions incorporated into it
PM: so it should be fine
PM: and the I the instruction manual , I don't know if we deal with that , um .
PM: I think
PM: Yep ,
PM: and different from what's out there .
PM: Yep , I think that's us .
UI: Yep ,
UI: I think
ME: Okay .
ME: What would you specifically like marketing to look at before the next meeting ?
ME: Or shall I just sort of generally look at all the issues involved ?
UI: True .
ID: Okay .
PM: I think you might get guidance ,
PM: but um
PM: I th
PM: Instruction manuals ,
PM: 'cause there tends to be a demonised thing ,
ME: Okay .
PM: 'cause there tends to be a demonised thing ,
PM: u um , they're everyone's got like a big pile of them ,
PM: but no one really uses them .
ME: Okay .
PM: Um .
ME: Whoops , questionnaire four .
UI: Oops .
UI: We should f
PM: Yes , right . Okay .
ME: 'Cause we're at lunchtime now I think .
UI: I think it's time for us to get back to
PM: Right , okay .
PM: I think you can email me , if there's any more questions .
PM: Um and I'll be able to not answer them ."
The project manager closed the meeting and told the group they would receive emails about their tasks for the next meeting.,"Okay , well I think the meeting will be over within a minute .
Well , you will read the minutes uh in the you can find them in the
In the shared folder .
because I'm will now type them out .
You'll see in you email , I guess .
What are we going to do now ?","PM: Okay , well I think the meeting will be over within a minute .
PM: So we will wrap up .
ME: Yep .
UI: Yeah .
ME: Something like that .
PM: Or is there anything we'd like to discuss ?
ME: I guess not .
PM: That's right .
ME: Do you , guys ?
PM: Okay .
UI: No .
ME: No ?
PM: Okay .
PM: Well , you will read the minutes uh in the you can find them in the
PM: pro probably .
PM: Yeah uh no , for su for sure
PM: because I'm will now type them out .
ME: In the shared folder .
UI: Oh , okay , yeah .
ID: What are we going to do now ?
PM: Uh , y yeah .
ME: You'll see in you email , I guess .
UI: Yeah .
UI: I hope so .
UI: And the other thing is that you don't have kind of prototype or something like that .
UI: You see a kinda prototype you can a little bit more uh
ID: 
PM: I think uh
ME: Yeah , I don't know . I don't know .
ID: I will make one in the next uh twenty minutes .
UI: Yeah .
ME: Construct one , yeah .
PM: But toilet paper roll and uh
UI: With you laptop ? Yeah .
ME: 
PM: Okay .
UI: Oh my God .
ME: Alright , shall we get back to work ?
ME: Great .
PM: Yep .
PM: I was waiting for the l last message , but
UI: Well you are . We're not .
ME: Yeah .
ME: Bastard .
ID: Back to the pen .
UI: 
ME: You lazy
PM: Mm yeah .
ID: "
The group discussed using large buttons for the most frequently used functions.,"And I um uh thinked of the button sizes and I'm not sure uh if they have to be big or uh just small
Well , w when we only use basic functions , we have the possibility to make the buttons larger .
Well , I think we already agreed upon the fact that the the the skip buttons and the cha and the volume buttons , th th those two have yeah , they have to be large .
It puts an extra accent on the the on the simplicity of our remotes to j to make these two most basic functions extra big , like t","UI: And I um uh thinked of the button sizes and I'm not sure uh if they have to be big or uh just small
UI: 
ID: But you're the expert .
ME: I think it depends on the function .
UI: Well , I'm not a e I'm the expert for user-friendly , but not for trendiness .
PM: Mm-hmm .
UI: Maybe it
ME: Well , if you save uh Perhaps uh s tiny buttons aren't user-friendly , then we wouldn't im implement that of course .
UI: Well uh
UI: okay , that's your point .
UI: Um , yeah . Yeah , okay .
PM: 
ID: 
ME: 
ME: 
UI: Yeah , I've nothing to s
ID: 
PM: Well , w when we only use basic functions , we have the possibility to make the buttons larger .
ME: Oh , that's right .
UI: Uh , with a little bit larger , yeah .
UI: I thought so , but maybe with the
ME: Yeah .
PM: Well , I think we already agreed upon the fact that the the the skip buttons and the cha and the volume buttons , th th those two have yeah , they have to be large .
PM: Uh , I mean th th the the two two basic buttons , you know , the to skip channels and to uh
UI: Yeah , that groups .
UI: Large ?
UI: Yeah .
ME: Yep .
PM: I think yeah , I don't know why , but I think that is that's t trendy too ,
PM: because that's the mo it it you know , it's uh acc acc um accentu uh ,
PM: how do you say it ?
UI: Most the most used uh buttons .
ME: Those are probably the the th
PM: It puts an extra accent on the the on the simplicity of our remotes to j to make these two most basic functions extra big , like t
ME: Yes .
UI: True . Yeah .
ME: Those are probably the b four most most used buttons on the th in the remote control .
PM: Yeah .
ID: You did the research .
PM: And you want to acc accentuate that , you know ."
The project manager opened the meeting by stating the agenda and then introduced the upcoming project to the team members.,"Um this is the kick-off meeting for the day .
Um we're the new group uh to create a new remote control for Real Reaction .
As you can see our agenda is to open up the meeting ,
um become acquainted with each other ,
um have a little training on tools ,
uh create a plan ,
discuss things
and and we only have twenty minut twenty five minutes total .
The new remote control is to be original , trendy and user-friendly .
That , Steph , is your part , is the user-friendliness .
The originality um is gonna take all of us .
Um the trendiness we'll probably go look at for some marketing research information from you , Sarah .
we'll have a functional design individual work um with meeting and then conceptual design t and then detailed design .","ME: Is this okay ?
PM: Uh yeah .
PM: Fine now .
PM: Oh ,
PM: it's not liking us ,
PM: it went that-a-way .
PM: Computer adjusting .
PM: Oh .
PM: Uh .
PM: Okay . So . Right .
PM: You ready back there ?
PM: 
PM: Uh okay .
PM: Welcome everyone .
PM: Um this is the kick-off meeting for the day .
PM: Um we're the new group uh to create a new remote control for Real Reaction .
PM: As you can see our agenda is to open up the meeting ,
PM: um become acquainted with each other ,
PM: um have a little training on tools ,
PM: uh create a plan ,
PM: discuss things
PM: and and we only have twenty minut twenty five minutes total .
PM: Okay .
PM: The new remote control is to be original , trendy and user-friendly .
PM: That , Steph , is your part , is the user-friendliness .
PM: The originality um is gonna take all of us .
PM: Um the trendiness we'll probably go look at for some marketing research information from you , Sarah .
PM: Um and we'll get on with it .
PM: Okay , so
PM: we'll have a functional design individual work um with meeting and then conceptual design t and then detailed design .
PM: Okay ?"
The Project Manager introduced the project to the group and gave an agenda for the project as a whole.,"Hi everybody and welcome to our kick-off meeting um for our new product that we're gonna be designing .
Um I'm Mandy and I'm the Project Manager .
And I know all your names again , Courtney , Fenella and Amber .
Okay , here is our agenda for this meeting .
Um tool training , we're going to , I guess , figure out what to do on this project with our individual roles .
Um we're gonna make a project plan and then have some time for discussion and close up the meeting .
We're gonna make a new remote control that's um original , trendy and also user-friendly .
We're gonna have discuss the functional design first , how is it gonna be used , what's the actual goal here , it has to operate T V , blah blah blah .
And we're going to do individual work on that and then meet .
Same thing with conceptual design .
And then the detailed design , just more in-depth , get the actual schematics of the remote .","PM: Okay .
PM: Hi everybody and welcome to our kick-off meeting um for our new product that we're gonna be designing .
PM: Um I'm Mandy and I'm the Project Manager .
PM: And I know all your names again , Courtney , Fenella and Amber .
PM: Alright . Okay ,
PM: so first let's go through this PowerPoint .
ME: Yep .
ID: Yep .
PM: I wonder what button I press ?
UI: Just do it on the arrow .
ID: 
PM: Yeah ,
PM: or how about I just click ?
PM: Okay , here is our agenda for this meeting .
PM: Um we're gonna start with our opening which was our introductions .
PM: We're gonna get to know each other a little bit better .
PM: Um tool training , we're going to , I guess , figure out what to do on this project with our individual roles .
PM: Um we're gonna make a project plan and then have some time for discussion and close up the meeting .
PM: Okay , here is our project .
PM: We're gonna make a new remote control that's um original , trendy and also user-friendly .
PM: And how we are going to do it is each of us is going to um
PM: We're gonna have discuss the functional design first , how is it gonna be used , what's the actual goal here , it has to operate T V , blah blah blah .
PM: And we're going to do individual work on that and then meet .
PM: Same thing with conceptual design .
PM: Just the basic overview of the project and then we're going to do individual work , meet .
PM: That's pretty much the the whole process for today .
PM: And then the detailed design , just more in-depth , get the actual schematics of the remote ."
He then introduced and explained how to use the meeting-room materials.,"the tool training .
Uh and this is uh only for uh drawing .
This one is for the presentations , the PowerPoint presentations or the Word presentation of whatever you uh you had .
We have two smart boards .
Um and as you uh may have heard , the documents in the shared folder uh can be uh showed on this screen . Not in y the the My Documents .
Uh This uh is very straightforward , with the save , the print , the undo , the blank , the select , the pen .","PM: Okay ,
PM: the tool training .
PM: We have two smart boards .
PM: This one is for the presentations , the PowerPoint presentations or the Word presentation of whatever you uh you had .
PM: Uh and this is uh only for uh drawing .
PM: So uh
PM: we uh must let it uh stand on this uh this programme .
PM: This is called a smart board
ME: Speaks for itself .
PM: thing uh
PM: Yeah ,
PM: it speaks for itself .
PM: Um and as you uh may have heard , the documents in the shared folder uh can be uh showed on this screen . Not in y the the My Documents .
PM: So if you wanna show something , put it in the shared folder .
PM: Uh This uh is very straightforward , with the save , the print , the undo , the blank , the select , the pen .
PM: Well ,
PM: I don't uh gonna explain it all ,
PM: because I think you know uh how it works .
ME: 
PM: Um we must not forget uh everything we draw on here , uh all must be saved .
PM: We we may not delete anything .
PM: So uh if you have uh drawn something , save it .
PM: Never delete it .
PM: That's a very important uh thing .
ME: "
The project manager Sebastian opens the meeting.,"So , we're here today to to have our first kick-off meeting about uh this new project we're going to tak to talk about in a few minutes .
Um so I will be uh Sebastian the Project Manager .","PM: Okay .
PM: Good morning everybody .
PM: Oh , everybody is not ready .
ID: Good morning .
UI: Uh almost .
UI: Ready .
PM: Alright .
PM: Okay , let's go .
PM: So , we're here today to to have our first kick-off meeting about uh this new project we're going to tak to talk about in a few minutes .
PM: Um so I will be uh Sebastian the Project Manager .
PM: Um you are the
UI: I'm uh Michael . I'm the user interface designer .
PM: Okay .
ME: Hi I'm Guillermo . I'm the Marketing Expert .
ID: And I am Hemant , the industrial designer .
PM: Okay , very good .
PM: Thanks for being here .
PM: Um so let's have a look to the the agenda .
PM: So , we are going to go through this agenda
PM: uh and mainly first to uh to make to to be used to the tools uh available in this nice and smart meeting room we have here .
PM: Um then we'll go to uh the plans for project and have general discussions about it .
PM: So , the goal of this project is to uh developed a new remote control .
PM: Um it should be original , trendy , and also user friendly .
PM: As usual we will follow the the project method um that we are using in the in our company .
PM: It is in three step as you know .
PM: First the functional design .
PM: The second's a conceptual design ,
PM: and then the detailed design .
PM: During each step uh of each design we wi you will work uh s separately , individually on uh your specific tasks
PM: and will m we will meet to um to discuss and take decisions about uh what you've you've you did and what uh we will do next .
PM: So first , we have to to train ourself with all the um the tools availables in the in this nice meeting room and uh particularly the the white board
PM: so uh we are going to go through the white board and take some um s some notes or do some drawings .
PM: So who want to start ?
UI: Ah well if no one else wants to , yeah .
PM: Mister ."
